PK,表格名稱,欄位名稱,中文名稱,資料型別,長度,預設值,允許空值
,___filesSizeCount,id,,bigint,,,
,___filesSizeCount,filesize,,float,,,V
,___filesSizeCount,f_id,,bigint,,,V
,___filesSizeCount,iscompose,1是合併0未合併,int,,((0)),V
PK,AdmInMountain,AI_ID,,bigint,,,
,AdmInMountain,A_ID,,bigint,,,V
,AdmInMountain,GUID,,nvarchar,100,,V
,AdmInMountain,CRTDATE,,datetime,,(getdate()),V
,AdmInMountain,CRTUSR,,nvarchar,50,,V
,APPCHGSER,AS_ID,,bigint,,,
,APPCHGSER,A_ID,,bigint,,,V
,APPCHGSER,OLD,,nvarchar,20,,V
,APPCHGSER,NEW,,nvarchar,20,,V
,APPCHGSER,CRTDATE,,datetime,,,V
,APPCHGSER,CHK,,int,,((0)),V
PK,apply_cancellog,id,主索引,int,,,
,apply_cancellog,sid,身份證號,varchar,50,,V
,apply_cancellog,name,姓名,nvarchar,100,,V
,apply_cancellog,serial,申請序號,varchar,50,,V
,apply_cancellog,apply_start,入園日起,date,,,V
,apply_cancellog,apply_end,入園日迄,date,,,V
,apply_cancellog,frontend,前台或後台,nvarchar,50,,V
,apply_cancellog,createtime,取消時間,datetime,,,V
,apply_cancellog,ip,ip,varchar,50,,V
,apply_cancellog,orgid,單位,uniqueidentifier,,,V
PK,apply_email,m_id,自動編號,int,,,
,apply_email,a_id,入園申請主索引,int,,,V
,apply_email,subject,標題,nvarchar,1000,,V
,apply_email,content,內容,ntext,,,V
,apply_email,send_apply,申請人寄送,int,,,V
,apply_email,send_leader,領隊寄送,int,,,V
,apply_email,send_stay,留守人寄送,int,,,V
,apply_email,send_climb,入園人寄送,int,,,V
,apply_email,sendtime,寄送時間,datetime,,,V
,apply_email,sid,個人異動身份證號,nvarchar,200,,V
,apply_email,CC,,nvarchar,1000,,V
,apply_email,BCC,,nvarchar,1000,,V
,apply_email,file01,,nvarchar,50,,V
,apply_email,file02,,nvarchar,50,,V
,apply_email,file03,,nvarchar,50,,V
,apply_email,file04,,nvarchar,50,,V
,apply_email,file05,,nvarchar,50,,V
,apply_email,Encry_a_id,加密資料,nvarchar,MAX,,V
PK,apply_foreign_closedate,id,,int,,,
,apply_foreign_closedate,closedate,,date,,,V
PK,apply_inserr,L_ID,,bigint,,,
,apply_inserr,A_ID,,bigint,,,V
,apply_inserr,COLNUMS,,nvarchar,500,,V
,apply_inserr,ERRDATA,,nvarchar,1000,,V
,apply_inserr,STATUS,,int,,((0)),V
,apply_inserr,CRTDATE,,datetime,,(getdate()),V
PK,apply_log,id,主索引值,int,,,
,apply_log,a_id,關連applylist資料表a_id,int,,,V
,apply_log,action,動作,nvarchar,2500,,V
,apply_log,ip,ip位址,nvarchar,50,,V
,apply_log,triggerdate,觸發時間,datetime,,,V
,apply_log,userid,執行者,nvarchar,100,,V
