表格名稱,表格描述
___filesSizeCount,NULL
AdmInMountain,NULL
APPCHGSER,序號重複變更紀錄
apply_cancellog,取消記錄時間表
apply_email,入園申請郵件通知
apply_foreign_closedate,外籍提前關閉
apply_inserr,NULL
apply_log,申請歷程記錄
apply_log_20220525,NULL
apply_log_yushan,NULL
apply_roomschedule,NULL
apply_schedule,申請入園行程資料表
apply_schedule_bak,申請入園行程資料表草稿
apply_sms,入園申請簡訊通知
apply_spnpbaklog,雪霸候補執行排程記錄
apply_teams,入園申請隊員
apply_teams_bak,入園申請隊員草稿
apply_teams_for,NULL
apply_vpitem,違規項目
apply_vplist,違規名單
ApplyBanTime,禁止申請時間(抽籤時間)
ApplyBanTimeMuti,NULL
applylist,入園申請資料表
applylist_bak,入園申請資料表草稿
applylist_files,NULL
applylist_files20220725tmp,NULL
applylist_for,NULL
applylist_lchgfiles,領隊異動檔案上傳
applylist_Y114000003,NULL
applyrefund,線上退費申請人
applyrefund_file,退費申請繳交附件
applyrefund_log,退費寄信log
applyrefund_member,退費人員
applyrefund_person,退費申請人
applyrefund_teams,申請退費隊伍資料
ApprovedTeams,核准隊伍審查一覽表
aspnet_Applications,產生最底層的資料讓資料表間能明確的被繫結
aspnet_Membership,密碼資料與密碼詢問操作相關資料
aspnet_Profile,使用者資料1
aspnet_Roles,角色資料管理
aspnet_SchemaVersions,NULL
aspnet_Users,使用者帳號相關資料
aspnet_UsersInRoles,使用者角色對應表
aspnet_WebEvent_Events,NULL
attention,注意事項資料表
Ballot,抽籤公告資料表
BallotLine,單日往返路線抽籤
BANKDATA,銀行資料
BANKSUB,分行資料表
BANKSUB_20260811B,NULL
barcode_log,NULL
Basic_ApiLog,使用紀錄查詢
BearRouteNode,黑熊保育路線
bedlist,NULL
BidRequirement,申辦規定與預知
Blacklist,停權名單
BlackSta,NULL
booking,宿營地居住資料表
booking_bak,宿營地居住資料表
booking_bed,床位資料表
booking_bed_yushan,床位營位安排(玉山)
booking_bed_yushan_2017,NULL
booking_bed_yushan_2017_2018,NULL
booking_bed_yushan_2019_2020,NULL
booking_bed_yushan_no,入園未入住
booking_bedlock,床位鎖定不分配表
booking_bedlock1_2,床位鎖定不分配表
booking_numclose,NULL
booking_refund,行程變更退費異常
booking_shareroom,NULL
booking_Y114000003,NULL
bookingTmp,NULL
campfeebook,二天以上需繳費住宿費用
campfeelist,繳費隊伍申請資料
campfeeteams,繳費隊伍-隊員資料
campmanagefees,宿營地規費
campmanagefeesDetail,規費退費明細表
cancelmember,個人取消人員
Case_Main,案件申請主檔
Case_MainTemp,案件申請主檔草稿
Case_PeopleCancel,NULL
Case_Sub," 案件申請子檔"
ChangHwaClose,彰銀關帳日
CITY,縣市代碼表
CityParkWeather,縣市、國家公園氣象資料
ClimblineType,次路線類別
ClimbRouteMange,登山路線
EGOVPAYDATA,電子支付繳費資料
EIP_Core_AccessControl,此角色可以使用的程式模組
EIP_Core_AccessScope,NULL
EIP_Core_AdminMap,功能表
EIP_Core_Config,組態設定
EIP_Core_Module,開發模組控管
EIP_Core_Module_Config,NULL
EIP_Core_Module_Control,開發模組控管
EIP_Core_Module_DataScopeInControl,NULL
EIP_Core_Organization,機關單位
EmailData,NULL
EmailSet,NULL
EmergencyTel,緊急聯絡電話主項目
EmergencyTelDetail,緊急聯絡電話明細
FAQ,NULL
FileDownload,NULL
FileDownloadNps,一站式檔案下載
FileDownloadNpsItem,檔案下載附件資料
FileManagement,NULL
FileManagementDetail,NULL
