afterstatus 有值,0,115
afterstatus 有值,1,2
afterstatus 有值,3,175
afterstatus 有值,4,55451
afterstatus 有值,5,509335
afterstatus 有值,8,169320
afterstatus 有值,9,119
afterstatus 有值,10,1
afterstatus 有值,12,2
afterstatus 有值,13,6091
afterstatus 有值,17,12
afterstatus 為 NULL,NULL,3
afterstatus 為 NULL,0,2324
afterstatus 為 NULL,1,154
afterstatus 為 NULL,3,1915
afterstatus 為 NULL,4,467582
afterstatus 為 NULL,5,140411
afterstatus 為 NULL,6,882
afterstatus 為 NULL,7,160
afterstatus 為 NULL,8,464258
afterstatus 為 NULL,9,8
afterstatus 為 NULL,13,6540
afterstatus 為 NULL,14,67
afterstatus 為 NULL,16,608
afterstatus 為 NULL,17,46
